first_pokemon;second_pokemon;winner
Larvitar;Nuzleaf;Nuzleaf
Virizion;Terrakion;Terrakion
Togetic;Beheeyem;Beheeyem
Slugma;Druddigon;Druddigon
Omastar;Shuckle;Omastar
Joltik;Aegislash Shield Forme;Joltik
Natu;Jynx;Jynx
Machop;Giratina Altered Forme;Giratina Altered Forme
Pineco;Clauncher;Clauncher
Wingull;Pikachu;Pikachu
Starly;Staryu;Staryu
Terrakion;Yamask;Terrakion
Metapod;Swampert;Swampert
Omastar;Slowbro;Omastar
Mega Tyranitar;Mothim;Mega Tyranitar
Clauncher;Kricketune;Kricketune
Lapras;Raikou;Raikou
Swablu;Piloswine;Piloswine
Mega Lucario;Carbink;Mega Lucario
Samurott;Musharna;Samurott
Prinplup;Bisharp;Bisharp
Whiscash;Empoleon;Empoleon
Frillish;Chandelure;Chandelure
Rhydon;Mega Camerupt;Rhydon
Petilil;Emolga;Emolga
Lugia;Zekrom;Lugia
Wormadam Sandy Cloak;Stoutland;Stoutland
Tirtouga;Tyrunt;Tyrunt
Tauros;Luxray;Tauros
Durant;Meowstic Male;Durant
Rampardos;Manaphy;Manaphy
Ledian;Swellow;Swellow
Sunflora;Crobat;Crobat
Fan Rotom;Swablu;Fan Rotom
Magby;Armaldo;Armaldo
Gastrodon;Mega Tyranitar;Mega Tyranitar
Scraggy;Zigzagoon;Zigzagoon
Luvdisc;Jynx;Luvdisc
Mega Audino;Drapion;Drapion
Patrat;Remoraid;Remoraid
Pidove;Remoraid;Remoraid
Azumarill;Chespin;Azumarill
Baltoy;Electabuzz;Baltoy
Bellsprout;Empoleon;Empoleon
Elgyem;Vanillish;Vanillish
Buneary;Sealeo;Buneary
Venusaur;Pyroar;Pyroar
Torterra;Jigglypuff;Torterra
Shuckle;Vaporeon;Vaporeon
Snover;Keldeo Resolute Forme;Keldeo Resolute Forme
Shieldon;Magby;Magby
Mega Mewtwo X;Aegislash Blade Forme;Aegislash Blade Forme
Groudon;Aromatisse;Groudon
Smoochum;Phantump;Smoochum
Trapinch;Sunflora;Sunflora
Braixen;Vanilluxe;Vanilluxe
Castform;Heat Rotom;Heat Rotom
Spewpa;Fraxure;Fraxure
Gyarados;Chesnaught;Gyarados
Delibird;Skiddo;Delibird
Mantyke;Unown;Mantyke
Zoroark;Ninetales;Zoroark
Conkeldurr;Chespin;Conkeldurr
  Scolipede  ;Nidoking;  Scolipede  
Zangoose;Seismitoad;Zangoose
Espurr;Roggenrola;Espurr
Mega Sharpedo;Pichu;Mega Sharpedo
Pelipper;Bellossom;Pelipper
Meganium;Terrakion;Terrakion
Purrloin;Hitmonlee;Hitmonlee
Shuckle;Typhlosion;Typhlosion
Alakazam;Prinplup;Alakazam
Ferroseed;Lilligant;Lilligant
Liepard;Serperior;Serperior
Kyurem Black Kyurem;Nidoking;Kyurem Black Kyurem
Luxray;Wailord;Luxray
Klink;Dewgong;Dewgong
Azelf;Mega Venusaur;Azelf
Staryu;Loudred;Staryu
Mega Kangaskhan;Latias;Latias
Masquerain;Mega Sceptile;Mega Sceptile
Pidove;Sandile;Sandile
Meloetta Aria Forme;Tentacruel;Tentacruel
Chingling;Frost Rotom;Frost Rotom
Baltoy;Nidoqueen;Nidoqueen
Charmeleon;Mega Sableye;Mega Sableye
Volbeat;Moltres;Moltres
Mantyke;Simisear;Simisear
Giratina Origin Forme;Dusknoir;Giratina Origin Forme
Bronzong;Scizor;Scizor
Pawniard;Umbreon;Umbreon
Ralts;Shuppet;Shuppet
Magnezone;Talonflame;Talonflame
Dragonair;Inkay;Dragonair
Omanyte;Suicune;Suicune
Chimchar;Terrakion;Terrakion
Forretress;Suicune;Suicune
Chimchar;Leavanny;Leavanny
Remoraid;Swablu;Remoraid
Noivern;Phanpy;Noivern
Cottonee;Lombre;Cottonee
Piplup;Yanma;Yanma
Joltik;Trapinch;Joltik
Chimchar;Nidoking;Nidoking
